name,parent,value
Origin,,
Alex Haley,Origin,936
Alice Walker,Origin,874
Ann Petry,Origin,31
Barbara Neely,Origin,7
Charles Chesnutt,Origin,6
Charles R. Johnson,Origin,25
Chester Himes,Origin,93
Claude McKay,Origin,119
Colson Whitehead,Origin,70
David Bradley,Origin,6
Edward P. Jones,Origin,49
Edwidge Danticat,Origin,102
Ernest J. Gaines,Origin,74
Gayl Jones,Origin,19
George Schuyler,Origin,18
Gloria Naylor,Origin,36
Gwendolyn Brooks,Origin,183
Henry Dumas,Origin,9
Ishmael Reed,Origin,145
Jacqueline Woodson,Origin,85
James Baldwin,Origin,1168
James Weldon Johnson,Origin,151
Jean Toomer,Origin,65
Jesmyn Ward,Origin,34
John A. Williams,Origin,0
John Oliver Killens,Origin,7
Langston Hughes,Origin,2203
Margaret Walker,Origin,57
Marlon James,Origin,18
Nalo Hopkinson,Origin,30
Nella Larsen,Origin,43
Octavia E. Butler,Origin,326
Paul Beatty,Origin,53
Paul Laurence Dunbar,Origin,177
Paule Marshall,Origin,57
Pauline Hopkins,Origin,30
Ralph Ellison,Origin,358
Richard Wright,Origin,459
Rudolph Fisher,Origin,13
Sister Souljah,Origin,328
Suzan-Lori Parks,Origin,57
Tayari Jones,Origin,78
Terry McMillan,Origin,138
Toni Cade Bambara,Origin,47
Toni Morrison,Origin,1228
W.E.B. Bois,Origin,0
Walter Mosley,Origin,197
Zora Neale Hurston,Origin,486
